Time ,Proteins,peak 
0.110762,99,0.40787
0.150676,98,0.40787
0.342742,97,0.533484
0.398877,96,0.533484
0.458318,95,0.533484
0.465566,94,0.533484
0.613861,93,0.533484
0.668349,92,0.533484
0.76715,93,0.981345
0.888878,92,0.981345
0.963476,91,0.981345
0.99353,90,0.981345
1.09489,89,0.981345
1.20136,88,0.981345
1.37476,87,0.47099
1.40415,86,0.47099
1.53513,85,0.274684
1.65335,86,0.680574
1.70506,87,0.680574
1.77111,88,0.680574
1.86139,87,0.680574
2.04212,86,0.686111
2.19102,85,0.686111
2.1952,84,0.686111
2.26665,85,0.686111
2.47005,84,0.615321
2.61762,83,0.615321
2.69111,84,0.283611
2.72075,83,0.283611
2.80917,82,0.283611
2.8182,81,0.283611
2.92656,82,0.283611
2.9347,81,0.283611
2.9728,82,0.428079
3.06725,81,0.381232
3.08754,80,0.381232
3.15837,79,0.381232
3.2501,78,0.797751
3.39196,79,0.797751
3.39338,80,0.797751
3.39629,79,0.797751
3.40869,78,0.797751
3.45234,77,0.797751
3.85843,76,0.797751
3.85982,75,0.797751
3.98644,76,0.443702
4.17325,75,0.443702
4.31213,74,0.443702
4.40318,73,0.478399
4.41235,74,0.478399
4.47286,73,0.478399
4.69101,72,0.478399
4.76332,71,0.478399
4.84944,72,0.478399
5.01657,71,0.478399
5.03866,70,0.478399
5.32361,69,0.689548
5.71297,70,0.272682
5.78476,69,0.272682
5.85988,70,0.272682
5.88602,71,0.272682
5.94644,70,0.272682
5.97597,71,0.373347
6.2162,70,0.27317
6.28525,69,0.372081
6.31991,70,0.372081
6.41684,71,0.372081
6.45393,72,0.372081
6.5236,71,0.372081
6.62168,72,0.597397
6.83668,71,0.597397
7.10835,70,0.590017
7.13565,71,0.590017
7.23741,70,0.590017
7.24139,69,0.346922
7.27061,68,0.346922
7.47834,69,0.346922
7.5684,68,0.489932
7.58755,69,0.328
7.89705,70,0.348783
7.96939,71,0.469135
8.08803,72,0.364841
8.10664,71,0.364841
8.38046,72,0.374382
8.3841,73,0.374382
8.56432,72,0.374382
8.57741,73,0.374382
8.58452,74,0.374382
8.63093,75,0.374382
8.71418,74,0.374382
8.72766,73,0.374382
8.92349,72,0.61903
9.00183,71,0.448894
9.10475,70,0.448894
9.30263,69,0.431262
9.43972,70,0.285867
9.45632,71,0.285867
9.54009,70,0.285867
9.59625,71,0.285867
9.61773,70,0.285867
9.68883,71,0.285867
9.84061,70,0.285867
9.89799,69,0.285867
10.157,68,0.285867
10.3986,67,0.285867
10.5328,66,0.317516
10.7369,67,0.693127
10.8235,66,0.693127
11.1264,65,0.481599
11.1854,66,0.481599
11.2618,67,0.481599
11.4223,66,0.185198
11.4843,65,0.185198
11.497,64,0.185198
11.5556,65,0.185198
11.5954,66,0.219655
11.6141,65,0.219655
11.7584,66,0.11968
11.7726,67,0.11968
11.7759,68,0.11968
11.784,67,0.11968
12.1385,68,0.331162
12.1505,67,0.331162
12.3456,68,0.91937
12.4024,67,0.91937
12.4191,66,0.91937
12.461,65,0.707821
12.766,64,0.380648
12.9809,63,0.287357
12.9919,62,0.287357
12.998,63,0.287357
13.1154,64,0.287357
13.1505,65,0.287357
13.1724,66,0.287357
13.6055,65,0.287357
13.626,64,0.450947
13.774,63,0.450947
13.8363,62,0.450947
14.0655,63,0.450947
14.4882,62,0.872068
14.5039,61,0.872068
14.6466,60,0.872068
14.7139,59,0.872068
14.9082,58,0.872068
14.9338,59,0.872068
15.0911,58,0.872068
15.3266,59,1.06142
15.4533,58,0.66977
15.637,59,0.309148
15.8261,60,0.532534
15.9648,61,0.573624
16.0034,60,0.573624
16.0341,61,0.573624
16.2372,62,0.416205
16.2559,63,0.416205
16.2577,62,0.416205
16.3072,63,0.416205
16.3527,62,0.416205
16.5157,63,0.371497
16.552,62,0.371497
16.5566,63,0.371497
16.6255,62,0.371497
16.6461,63,0.371497
16.7181,62,0.371497
16.8136,61,0.371497
16.8814,62,0.371497
16.9301,63,0.371497
17.1158,62,0.525603
17.2219,61,0.525603
17.3818,60,0.525603
17.4168,59,0.182307
17.4951,60,0.162186
17.4964,59,0.162186
17.5808,60,0.790432
17.6439,61,0.45964
17.9763,60,0.488944
17.9876,59,0.488944
