Time ,Proteins,peak 
0.0607746,99,0.954892
0.296682,98,0.954892
0.366233,97,0.954892
0.464157,96,0.954892
0.488624,95,0.954892
0.502763,94,0.954892
0.608507,93,0.954892
0.778711,92,0.954892
0.810847,91,0.954892
0.866535,90,0.954892
0.897585,89,0.954892
1.56008,88,1.04533
1.6756,89,1.04533
1.7359,90,1.04533
1.87734,89,1.04533
1.96791,90,1.04533
2.23964,89,0.876113
2.48985,90,0.876113
2.87458,91,1.01059
3.46492,90,1.01059
3.57006,89,1.01059
3.71599,88,1.01059
3.72789,89,1.01059
3.80449,88,0.588472
3.8467,89,0.588472
3.88278,88,0.588472
4.08573,87,0.588472
4.36046,88,0.588472
4.57704,87,0.889208
4.87006,86,0.889208
5.04073,85,0.889208
5.13362,84,0.271933
5.16496,83,0.271933
5.16876,82,0.271933
5.22518,81,0.271933
5.31727,80,1.21885
5.34305,79,1.21885
5.35338,80,1.21885
5.36477,81,1.21885
5.39848,82,1.21885
5.5792,81,1.21885
5.5963,80,1.21885
5.67307,79,1.21885
5.74277,80,1.21885
5.85556,79,0.535755
6.05165,80,0.656003
6.06403,79,0.656003
6.16847,78,0.656003
6.30022,77,0.656003
6.32691,76,0.656003
6.35045,77,0.656003
6.46519,76,0.656003
6.48862,77,0.656003
6.56091,78,0.656003
6.61275,77,0.782789
6.68296,76,0.782789
6.68849,75,0.782789
6.72318,74,0.782789
7.07727,73,0.782789
7.10106,72,0.782789
7.18895,71,0.782789
7.21319,70,0.782789
7.35825,71,1.20907
7.36582,70,1.20907
7.6516,69,1.04555
7.66161,68,1.04555
8.01803,69,0.696613
8.04989,70,0.696613
8.36355,69,0.3081
8.54411,70,1.21443
8.59366,71,0.810257
8.64125,72,0.810257
8.6422,71,0.810257
8.65692,72,0.810257
8.76578,73,0.810257
8.77564,72,0.810257
8.86347,71,0.810257
8.88753,72,0.810257
8.94988,73,0.810257
9.14034,72,1.91526
9.148,73,1.91526
9.19582,72,1.37156
9.20491,71,1.37156
9.25057,70,1.37156
9.25181,69,1.37156
9.30526,68,1.37156
9.34278,67,1.37156
9.34629,68,1.37156
9.3692,69,1.37156
9.39257,68,1.37156
9.39951,67,1.37156
9.45327,66,1.37156
9.46348,65,1.37156
9.48952,64,1.37156
9.5421,65,0.97759
9.55415,64,0.97759
9.59405,63,0.303272
9.74782,64,1.27957
9.86859,65,0.585397
9.90746,64,0.585397
10.2648,65,0.518258
10.3686,64,0.518258
10.4188,65,0.918395
10.4687,66,0.918395
