Time ,Proteins,peak 
0.0306445,99,0.551581
0.0327692,98,0.551581
0.0611936,97,0.551581
0.087426,96,0.551581
0.100916,95,0.551581
0.132546,94,0.551581
0.139467,93,0.551581
0.20865,92,0.551581
0.29998,91,0.306151
0.34309,90,0.306151
0.433628,89,0.611658
0.542717,90,0.611658
0.655252,89,0.611658
0.730453,88,0.611658
0.879612,87,0.611658
0.962883,88,0.611658
0.998591,87,0.611658
1.0646,86,0.41877
1.13565,85,0.41877
1.20242,84,0.41877
1.20417,83,0.41877
1.25769,82,0.168198
1.37854,83,0.168198
1.41984,82,0.168198
1.46578,83,0.704853
1.55619,82,0.689054
1.56163,81,0.689054
1.71369,80,0.929386
1.95651,79,0.929386
2.01977,78,0.929386
2.11029,77,0.929386
2.16043,78,0.929386
2.2222,79,0.929386
2.38502,78,0.542215
2.45219,77,0.542215
2.4708,76,0.542215
2.63605,77,0.542215
2.65753,76,0.542215
2.68532,75,0.542215
2.79283,74,0.542215
2.82391,73,0.542215
2.83325,74,0.542215
2.91344,75,0.542215
2.91767,76,0.542215
2.9781,75,0.542215
3.25445,74,0.542215
3.45454,73,0.693953
3.49093,72,0.693953
3.517,71,0.693953
3.6874,70,0.448802
3.84375,69,0.448802
3.88044,68,0.448802
4.10223,69,0.713298
4.13682,70,0.713298
4.31382,69,0.713298
4.56543,68,0.750014
4.61939,67,0.750014
4.66684,66,0.930695
4.7084,67,0.930695
4.73552,66,0.377525
4.77798,65,0.377525
4.78421,66,0.377525
4.88096,65,0.377525
4.88973,64,0.377525
5.10723,65,0.19348
5.10886,66,0.19348
5.18126,65,0.19348
5.22133,64,0.19348
5.2339,65,0.19348
5.30954,64,0.352437
5.5104,63,0.221639
5.52673,62,0.221639
5.57046,61,0.221639
5.58107,62,0.221639
5.63373,61,0.221639
5.65143,62,0.302994
5.65163,61,0.302994
5.66718,62,0.302994
5.70345,63,0.129382
5.778,62,0.129382
5.80497,63,0.129382
5.95016,64,0.280379
5.98966,63,0.280379
6.17738,64,0.280379
6.23388,63,0.280379
6.24595,62,0.280379
6.29756,61,0.280379
6.5111,60,0.633918
6.98535,61,0.472941
7.21749,62,0.472941
7.33334,61,0.472941
7.35485,60,0.472941
7.37138,59,0.472941
7.64393,58,0.354987
7.9505,57,0.537044
7.96079,58,0.537044
8.10269,57,0.537044
8.25368,56,0.553549
8.32807,55,0.553549
8.38315,56,0.553549
8.56071,55,0.365721
8.68372,56,0.365721
8.81707,57,0.321383
8.86276,58,0.321383
8.88819,57,0.321383
8.91178,56,0.321383
9.13289,57,0.286601
9.23134,58,0.286601
9.6571,57,0.432048
9.81197,58,0.341173
10.0343,59,0.507612
10.105,58,0.158593
10.2214,59,0.309724
10.2462,58,0.309724
