Time ,Proteins,peak 
0.0415983,99,0.688235
0.125797,98,0.688235
0.330028,97,0.688235
0.347536,96,0.688235
0.439174,95,0.688235
0.488289,94,0.688235
0.53731,93,0.688235
0.736868,92,0.802557
0.968326,91,0.802557
1.13451,90,0.897037
1.16494,89,0.897037
1.46448,88,0.897037
1.48519,89,0.897037
1.55981,88,0.897037
1.67537,87,0.853145
1.72744,86,0.853145
1.73367,85,0.853145
1.7419,84,0.853145
1.85817,83,0.853145
2.02957,84,0.853145
2.05517,83,0.853145
2.25883,82,0.916911
2.47787,83,1.25496
2.52411,82,1.25496
2.77857,83,1.12834
3.12582,84,1.12834
3.23819,83,1.12834
3.25974,82,1.12834
3.36916,81,1.06811
3.3985,80,1.06811
3.64557,79,1.21542
3.676,80,1.21542
3.70438,81,0.639323
3.72161,80,0.639323
3.72246,79,0.639323
3.74296,78,0.639323
3.74874,79,0.639323
4.0573,78,1.27079
4.08178,77,1.27079
4.17067,76,1.27079
4.18813,75,1.27079
4.27729,74,1.27079
4.32697,75,1.27079
4.42611,76,1.27079
4.56644,75,1.27079
4.62816,76,1.27079
4.68543,75,1.27079
4.72991,74,1.27079
4.80437,73,1.27079
4.90627,72,1.27079
5.01143,71,1.27079
5.25842,70,0.809215
5.31913,71,0.809215
5.40897,70,0.809215
5.41,69,0.809215
5.48635,68,1.4578
5.54959,67,1.4578
5.58251,66,1.4578
5.59946,65,1.4578
5.66653,64,1.4578
6.02453,65,1.4578
6.20433,66,1.4578
6.36852,65,1.4578
6.89022,66,1.4578
6.92705,65,1.4578
7.25904,64,1.00349
7.374,63,1.00349
7.40356,62,1.00349
7.41753,61,1.00349
7.83629,60,1.2195
7.91211,59,0.68496
7.95645,58,0.68496
8.04406,57,0.793299
8.07354,58,0.793299
8.0963,57,0.793299
8.21602,58,0.793299
8.51948,57,0.562864
8.56098,58,0.562864
8.7437,57,1.42126
8.8337,58,1.42126
8.86655,57,1.02392
8.86809,58,1.02392
8.91508,59,1.02392
8.99531,58,1.02392
9.02566,59,1.02392
9.19503,58,1.31964
9.22327,59,0.388817
9.38215,58,0.388817
9.38809,57,0.388817
9.4324,58,0.388817
9.4471,57,0.388817
9.59008,58,0.388817
9.61552,57,0.388817
9.75279,56,0.668677
9.81624,55,0.668677
9.87334,56,0.668677
10.1047,57,0.908226
10.2876,58,1.25131
10.4453,59,1.3809
10.9003,60,1.01076
10.9654,61,0.914817
11.1064,60,0.914817
11.1894,61,0.845866
11.1995,62,1.56577
11.216,61,1.56577
11.217,60,1.56577
11.2941,59,1.09344
11.3389,60,1.09344
11.3429,61,1.09344
11.3804,60,1.09344
11.4322,61,1.18854
11.4458,60,1.18854
11.7409,61,1.34734
11.8135,62,1.34734
11.8213,63,1.34734
11.9055,64,0.694723
11.9983,63,0.694723
12.0176,64,0.694723
12.0399,65,0.694723
12.0437,66,0.694723
12.2135,67,0.694723
12.217,66,0.694723
12.2171,65,0.694723
12.278,64,0.694723
12.3063,65,0.975697
12.3323,66,0.975697
12.3866,67,0.975697
12.5077,66,0.975697
12.5393,67,0.975697
12.6127,68,0.975697
12.7639,69,0.975697
12.8615,68,0.975697
12.8661,67,0.975697
12.9802,66,0.975697
13.08,67,0.975697
13.1188,66,0.975697
13.2048,65,0.975697
13.2649,66,0.975697
13.3076,65,0.975697
13.3876,64,0.975697
13.4221,63,0.975697
13.4696,62,0.975697
13.5948,61,1.04925
13.6159,60,1.04925
13.8147,59,1.02416
13.8293,58,1.02416
14.0795,59,1.70353
14.2393,58,1.70353
14.3834,57,1.70353
14.3966,58,1.70353
14.4975,57,1.12249
14.6342,58,1.48049
14.6622,59,1.48049
14.7191,58,0.557095
14.7825,59,0.934615
14.9021,60,0.934615
15.2571,61,0.712188
15.2807,60,0.712188
15.511,61,1.42659
15.5361,60,1.42659
15.5839,59,1.42659
15.5855,58,1.42659
15.6078,59,1.42659
15.6635,58,1.42659
15.6811,59,1.42659
15.7076,60,1.42659
15.7621,61,1.6373
15.7768,62,1.6373
15.7899,61,1.6373
15.809,62,0.663856
15.9216,61,0.663856
15.9344,62,0.663856
15.9935,63,0.663856
16.0268,64,0.663856
16.1711,63,0.663856
16.1749,62,0.663856
16.2608,61,0.663856
16.3455,60,0.663856
16.4606,61,0.888181
16.4763,60,0.819089
16.5714,59,0.819089
16.5872,58,0.819089
16.6601,57,1.06233
16.7823,56,1.06233
16.901,57,1.06233
17.0644,56,1.27271
17.1355,55,0.985016
17.1909,54,0.985016
17.2443,55,0.985016
17.2821,56,0.985016
17.2934,55,0.985016
17.3696,56,0.813887
17.5711,55,0.664386
17.5776,54,0.664386
17.6158,53,0.664386
17.6652,54,0.616339
17.8424,53,0.616339
17.8926,52,0.616339
