Time ,Proteins,peak 
0.267235,99,0.999885
0.275028,98,0.999885
0.395223,97,1.01619
0.426613,96,1.02578
0.442711,95,1.02578
0.444545,94,1.02578
0.490199,93,1.02578
0.694254,92,1.02578
0.701662,91,1.02578
0.775653,90,1.02578
0.775798,89,1.02578
0.944315,88,1.02578
0.973675,87,1.02578
0.980871,86,1.02578
0.984311,85,1.02578
1.21514,86,1.02578
1.34069,87,1.02578
1.42532,88,1.02578
1.52138,87,0.93608
1.57757,86,0.98092
1.61341,85,0.98092
1.67048,84,0.98092
1.79351,83,0.98092
2.0324,82,1.01788
2.20763,81,1.01004
2.39245,80,1.01004
2.40747,81,1.01004
2.52042,82,1.01004
2.65812,81,0.98102
2.86845,80,0.96469
2.94347,79,0.96469
2.94886,80,0.96469
3.04684,81,0.96469
3.24906,80,0.979827
3.52593,81,0.979827
3.56272,82,1.03007
3.5751,81,1.03007
3.63244,80,1.03007
3.64237,81,1.03007
3.68529,80,1.03007
3.69513,79,0.957271
3.85019,78,0.957271
3.85836,77,0.957271
4.12577,78,0.957271
4.17782,77,0.966732
4.58246,78,1.03144
4.62433,77,0.994527
4.64421,78,0.994527
4.77033,77,0.994527
4.94325,76,1.00692
5.06329,77,1.00692
5.06962,76,1.00692
5.12845,75,1.00692
5.1421,76,1.00692
5.19134,77,1.00692
5.49826,78,0.894339
5.50671,77,0.894339
5.50925,76,0.968438
5.59975,75,0.968438
5.60699,76,0.968438
5.61516,75,0.968438
5.77618,74,0.968438
5.78933,73,0.968438
5.84892,74,1.00997
5.88815,75,0.961498
5.9534,74,0.961498
5.99854,73,0.961498
6.00292,72,0.961498
6.12615,73,0.894543
6.22824,72,0.894543
6.45846,71,0.894543
6.47579,72,0.894543
6.69447,71,0.8816
6.77071,70,0.8816
6.81396,71,0.8816
6.84249,72,1.02467
6.9379,73,1.02467
7.07496,72,1.02467
7.25017,71,0.91304
7.27893,70,0.91304
7.30049,69,0.91304
7.40418,70,0.91304
7.42384,69,0.91304
7.56092,68,0.91304
7.83562,67,0.997258
7.85672,68,0.997258
7.88477,67,0.997258
7.97753,66,1.08773
8.04113,67,1.08773
8.0897,66,0.996527
8.09357,65,0.996527
8.16804,64,0.995348
8.26907,63,0.990631
8.36017,62,0.990631
8.48273,61,0.975037
8.55169,60,0.975037
8.5523,59,0.975037
8.55377,60,0.975037
8.6657,61,0.966263
8.72776,62,1.0257
8.80556,63,1.09526
