Time ,Proteins,peak 
0.229133,99,0.642356
0.30604,98,0.642356
0.679569,97,1.77817
0.765084,96,0.235989
0.863132,95,0.235989
0.944855,96,0.235989
1.04692,95,0.235989
1.08072,94,0.235989
1.08218,93,0.235989
1.13113,92,0.235989
1.13416,91,0.235989
1.16214,90,0.235989
1.21913,89,0.235989
1.28215,88,0.235989
1.39867,87,0.289958
1.55583,86,2.087
1.65236,85,2.087
1.65799,84,2.087
1.67241,85,2.087
1.6781,84,2.087
1.69603,85,0.611667
1.96764,84,0.449865
2.0016,83,0.449865
2.06023,82,0.449865
2.12025,81,0.449865
2.14459,82,0.449865
2.26197,81,0.449865
2.29425,82,0.449865
2.29998,81,0.449865
2.31784,82,0.449865
2.32224,81,0.449865
2.40757,80,0.449865
2.63702,81,0.337032
2.83214,80,0.337032
2.94508,79,0.337032
2.94795,80,0.337032
2.9652,79,0.337032
3.09418,78,0.337032
3.31661,77,0.337032
3.33105,76,0.337032
3.36718,75,0.337032
3.41612,74,0.337032
3.49944,73,0.337032
3.57759,74,0.337032
3.64533,73,0.337032
3.65998,72,0.337032
3.83637,71,1.59528
4.03201,70,1.59528
4.17021,69,1.59528
4.18492,68,1.59528
4.41111,67,0.878303
4.58051,66,0.572956
4.61048,65,0.572956
4.95015,64,0.469216
4.99307,63,0.469216
4.99842,62,0.469216
5.0194,63,0.469216
5.1079,62,0.469216
5.11796,61,0.469216
5.20354,62,0.469216
5.2106,63,0.693202
5.27337,62,0.693202
5.31937,63,0.461013
5.55001,62,1.08007
5.62898,61,1.03597
5.64402,60,1.03597
5.77897,61,1.03597
5.81748,60,0.91214
5.89683,61,0.763455
5.98624,60,0.763455
6.07909,59,0.763455
6.11914,60,0.763455
6.14739,59,1.2018
6.53269,58,0.971435
6.57695,59,0.971435
6.5994,60,0.971435
6.6188,61,0.971435
6.63211,62,0.971435
6.6616,61,0.971435
6.69945,60,3.35081
6.71374,61,3.35081
6.95148,60,3.35081
7.0035,61,0.516309
7.04557,60,2.41856
7.13556,59,2.41856
7.23837,58,1.10793
7.24759,57,1.10793
7.33488,58,1.10793
7.45246,59,0.821288
7.51945,60,0.821288
7.6698,59,0.821288
7.72007,58,0.821288
7.9301,57,1.04256
7.96362,56,1.04256
8.06862,55,1.41277
8.08996,54,0.38275
8.17432,55,0.38275
8.18054,56,0.38275
8.23773,57,1.31134
8.32745,58,1.31134
8.34317,57,1.31134
8.46204,58,1.31134
8.58847,57,1.31134
8.63475,56,0.673424
8.83875,57,0.673424
8.86627,58,0.673424
9.0514,57,0.673424
9.13795,56,0.673424
9.29822,57,1.57899
9.32212,56,1.57899
9.43445,57,0.461762
9.44864,58,0.461762
9.5078,57,0.846593
9.52988,58,0.846593
9.55062,57,0.846593
9.56753,58,0.846593
9.58011,57,0.846593
9.58578,56,1.8591
9.64568,55,1.8591
9.74439,54,0.726795
9.83952,55,0.726795
9.96932,56,0.415689
10.0342,55,1.87111
10.0397,56,1.87111
10.257,57,1.30875
10.2928,56,1.30875
10.3353,57,0.905245
10.4343,56,0.905245
10.4602,57,0.905245
10.4741,58,0.905245
10.5677,57,2.26017
10.7577,58,2.26017
10.8736,57,0.534018
10.9546,56,0.534018
11.0168,57,0.534018
11.2021,56,0.534018
11.215,57,0.534018
11.2459,56,0.534018
11.3493,57,0.47294
11.3625,56,0.47294
11.4204,57,0.47294
11.4329,56,0.47294
11.4399,57,0.47294
11.5949,58,0.0929276
11.7792,59,1.65353
11.8546,58,1.65353
11.8583,59,1.65353
11.9029,58,1.65353
11.9228,57,1.65353
11.9491,58,1.65353
12.1995,57,1.21612
12.2944,56,1.65125
12.5106,55,0.50707
12.5729,56,0.50707
12.6312,57,0.50707
12.729,56,0.50707
12.7728,57,0.50707
12.8479,56,0.50707
12.8543,57,0.50707
13.0014,58,0.661613
13.1645,57,0.852845
13.2164,58,0.852845
13.2584,57,0.852845
13.2592,56,0.852845
13.3552,57,2.8382
