Time ,Proteins,peak 
0.18467,99,1.02315
0.261332,98,1.02315
0.58965,97,1.02315
0.762207,96,1.08708
1.05161,95,1.10841
1.24207,94,1.10841
1.31396,93,1.10841
1.55671,92,1.00939
1.66358,91,1.00939
1.79741,92,1.00939
1.81429,91,1.00939
1.88046,90,1.00939
1.96961,91,1.00939
2.0226,90,1.00939
2.13075,89,1.00939
2.43955,88,0.859016
2.51496,89,0.859016
2.56604,88,0.859016
2.68884,87,1.09527
3.10808,86,1.04772
3.14303,87,1.04772
3.16833,86,1.04772
3.31431,85,1.04772
3.37288,84,1.05221
3.43939,83,1.05221
3.61121,82,1.10495
3.63548,81,1.10495
3.69492,80,0.890237
3.70298,79,0.890237
3.78198,80,0.890237
3.90578,79,1.01749
3.96199,78,1.01749
3.97146,79,1.01749
3.97419,78,1.01749
4.18667,77,1.01749
4.24099,76,1.01749
4.24562,75,0.926337
4.36152,74,1.02967
4.41734,75,1.02967
4.42974,74,0.941419
4.50834,73,0.941419
4.52831,72,0.941419
4.55458,73,0.941419
4.56298,74,0.941419
4.64739,73,0.941419
4.89377,74,0.948966
5.13585,73,1.01136
5.16761,74,1.01136
5.32068,75,1.01136
5.36189,76,1.01136
5.47053,75,1.01136
5.62455,74,0.958753
5.73202,73,1.0972
5.75608,74,1.0972
5.7763,75,1.0972
5.78257,74,1.0972
5.89635,73,1.0972
5.92483,72,1.0972
5.93374,73,1.0972
6.04416,72,1.0972
6.07291,71,1.0972
6.13188,70,1.0972
6.4069,69,0.839197
6.56597,70,1.02547
6.59177,71,1.02547
6.74687,72,1.02547
6.84485,71,1.02547
6.96191,70,1.02547
7.05784,71,1.02547
7.16946,70,1.02547
7.21265,69,1.02547
7.29958,68,0.934342
7.55814,69,0.945957
7.6656,68,0.945957
7.83175,67,1.03203
7.8712,66,1.03203
8.10987,65,1.03203
8.18107,66,1.03203
8.36863,67,0.954022
8.40445,66,0.954022
8.40795,65,0.954022
8.43261,64,0.954022
8.45986,63,0.954022
8.47065,62,0.954022
8.47524,61,0.954022
8.63221,60,1.07277
8.64491,59,1.07277
8.7631,58,0.883653
8.85715,59,0.883653
9.14304,58,0.883653
9.24674,57,1.05934
9.2602,58,1.05934
9.34287,57,1.05934
9.43589,56,1.05934
9.50725,55,1.05934
9.6012,56,0.96276
9.60643,57,0.96276
9.61758,56,0.96276
9.69103,57,0.96276
9.91113,56,1.02383
9.98008,55,0.90226
10.0294,54,0.90226
10.1195,53,0.90226
10.2578,54,0.90226
10.2718,53,0.90226
10.3542,52,1.13419
10.5638,53,0.872316
10.6826,52,0.872316
10.8087,53,0.991907
10.8531,54,0.893645
10.876,55,0.893645
11.2829,56,0.962827
11.3797,57,0.962827
11.4811,58,0.962827
11.5343,57,0.962827
11.6618,56,1.07714
11.7216,57,1.07714
11.7623,58,1.07714
11.8137,59,1.07714
11.8233,60,1.07714
11.9105,61,1.07714
12.0315,62,0.984956
12.0509,61,0.984956
12.1051,62,0.902159
12.1292,61,0.902159
12.1914,62,1.00044
12.2078,61,1.00044
12.2126,60,1.00044
12.2783,61,1.00044
12.3385,60,1.00044
12.3746,59,1.00044
12.5218,58,1.00044
12.5261,59,0.986678
12.6545,58,0.986678
12.6997,59,0.967836
12.8577,60,1.0095
12.8656,61,0.978596
12.8982,60,0.978596
12.9719,61,0.978596
13.0025,62,0.978596
13.0544,61,0.978596
13.1764,62,1.19891
13.1828,61,1.19891
13.285,60,1.03797
13.4965,59,0.886125
13.5103,60,0.886125
13.5562,59,0.886125
13.6427,60,0.863022
13.6754,59,1.00092
13.6911,58,1.00092
13.7825,59,1.00092
13.8383,60,1.00092
14.1079,59,0.962158
14.1458,58,0.884454
14.2113,57,0.884454
14.2122,56,0.884454
14.2381,57,0.884454
14.2511,58,0.884454
14.2993,59,0.884454
14.3035,60,0.884454
14.4284,59,1.04217
14.4763,60,1.14546
14.6164,59,1.14546
14.6548,60,0.947546
14.7352,59,0.947546
14.9011,60,0.947546
14.9012,61,0.947546
14.9045,60,0.947546
14.9497,59,0.947546
15.0264,60,0.997341
15.2622,61,0.997341
15.3792,60,0.932921
15.4176,61,0.883244
15.4768,60,0.883244
15.4799,59,0.883244
15.4947,58,0.945849
15.5778,59,0.927918
15.617,60,0.927918
15.6246,59,0.927918
15.6718,58,0.927918
15.8507,57,1.04824
15.9886,58,1.04824
16.0255,57,1.04824
16.2143,58,1.03228
16.2921,59,0.901164
16.4029,58,0.901164
16.4321,59,0.901164
16.4997,60,1.07345
16.5815,59,1.07801
16.6957,58,1.07801
16.8629,59,1.07801
17.01,60,1.07801
17.0636,59,1.07801
17.1642,60,1.07801
17.2455,61,0.969315
17.4205,60,0.969315
17.5582,61,0.925981
17.6261,60,0.925981
17.6465,61,1.13222
17.7032,60,1.22186
18.1905,61,1.00221
18.2401,62,1.00221
18.3856,63,1.00221
18.4389,64,1.00221
18.4657,63,1.00221
18.5638,62,1.00221
18.5835,61,1.00221
18.6392,60,1.00221
18.7171,59,0.896413
18.7633,60,0.834621
18.7932,59,0.834621
18.8606,58,1.01246
18.8924,59,1.01246
18.9451,60,1.00562
19.1939,59,0.937087
19.2616,58,0.955177
19.3723,57,0.955177
19.5953,58,0.856268
19.5984,57,0.856268
19.5995,58,0.856268
19.7271,57,0.917664
19.8617,58,0.982814
19.9064,59,0.982814
19.9156,60,0.982814
19.9372,61,0.982814
19.9878,60,0.982814
