Time ,Proteins,peak 
0.32485,99,0.444785
0.33753,98,0.444785
0.425186,97,0.444785
0.619327,98,0.516322
0.777671,97,0.516322
0.883626,96,0.516322
0.983003,97,0.516322
1.16451,96,0.516322
1.33209,95,0.516322
1.55059,94,0.499732
1.58961,93,0.499732
1.69444,92,0.410014
1.75219,91,0.410014
1.80758,90,0.410014
1.97072,91,0.400536
2.03613,92,0.400536
2.13222,91,0.400536
2.24956,90,0.400536
2.27395,91,0.400536
2.3174,90,0.400536
2.38273,89,0.400536
2.48022,88,0.400536
2.54605,87,0.400536
2.63091,86,0.400536
2.69073,85,0.53613
2.71883,84,0.53613
2.76402,83,0.53613
3.09522,82,0.489681
3.12512,81,0.489681
3.14916,80,0.489681
3.16914,81,0.489681
3.18513,80,0.489681
3.203,79,0.489681
3.27938,80,0.410716
3.27971,79,0.410716
3.4287,78,0.46359
3.54789,77,0.516675
3.63404,78,0.439379
3.70364,77,0.439379
3.81371,78,0.650506
3.97581,77,0.582225
4.03951,76,0.582225
4.05721,77,0.582225
4.05919,78,0.582225
4.13438,77,0.548384
4.2085,78,0.474494
4.34174,77,0.474494
4.35726,78,0.474494
4.41033,77,0.474494
4.49147,78,0.474494
4.50946,77,0.474494
4.64574,78,0.458858
4.66942,79,0.458858
5.00058,80,0.520308
5.15395,79,0.520308
5.35965,80,0.520308
5.44482,79,0.520308
5.51148,80,0.520308
5.71435,79,0.520308
5.7793,78,0.457091
6.18222,77,0.563382
6.19004,78,0.563382
6.34636,77,0.563382
6.45547,78,0.329789
6.50414,79,0.329789
6.66473,78,0.329789
6.68416,79,0.329789
6.70186,78,0.329789
6.76539,77,0.329789
7.00117,76,0.577844
7.11562,75,0.577844
7.29167,74,0.577844
7.47902,73,0.577844
7.49916,74,0.577844
7.53403,73,0.577844
7.56622,72,0.577844
7.76548,71,0.577844
7.79248,70,0.577844
7.85213,69,0.577844
7.87555,68,0.577844
8.15818,67,0.553197
8.42644,66,0.553197
8.44015,65,0.778943
8.51961,64,0.778943
8.70842,65,0.38172
8.86071,64,0.38172
8.89804,63,0.38172
8.96224,62,0.38172
9.00298,61,0.451394
9.02317,60,0.451394
9.06576,61,0.451394
9.1974,60,0.451394
9.2155,61,0.451394
9.31111,62,0.451394
9.4507,63,0.49174
9.52825,62,0.49174
9.85776,63,0.51486
10.107,62,0.649314
10.1259,63,0.649314
10.1593,64,0.649314
10.1748,65,0.649314
10.2311,64,0.380779
10.2985,65,0.430701
10.4105,64,0.430701
10.4606,65,0.430701
10.4859,66,0.430701
10.5708,67,0.430701
10.6716,68,0.430701
10.6897,69,0.430701
10.7138,70,0.430701
10.9976,69,0.447255
11.0263,68,0.447255
11.0925,67,0.559882
11.1086,66,0.38658
11.2295,65,0.540015
11.2904,64,0.540015
11.4091,65,0.568169
11.4836,66,0.456146
11.4883,67,0.456146
11.5904,68,0.456146
11.7276,67,0.477477
11.754,68,0.477477
11.8535,67,0.495897
11.8659,68,0.495897
11.9199,69,0.556254
12.1722,70,0.556254
12.2357,71,0.610827
12.3199,72,0.380281
12.3814,71,0.380281
12.4589,72,0.681108
12.676,71,0.480726
12.689,72,0.480726
12.6994,73,0.480726
12.7354,72,0.480726
12.8151,73,0.480726
12.9353,72,0.376666
13.011,71,0.544156
13.0811,72,0.544156
13.0832,71,0.544156
