Time ,Proteins,peak 
0.330143,99,0.508532
0.34343,98,0.508532
0.548838,97,0.954152
0.551014,96,0.954152
0.641247,95,0.954152
0.652919,94,0.954152
0.730905,93,0.413276
0.85156,92,0.289217
1.00718,91,0.767353
1.08335,92,0.767353
1.09835,91,0.767353
1.1162,92,0.767353
1.15733,91,0.767353
1.24705,92,0.324204
1.34474,91,0.263548
1.37616,92,0.263548
1.4154,93,0.263548
1.44754,92,0.263548
1.51605,93,0.263548
1.52462,94,0.263548
1.564,93,0.263548
1.64237,92,0.366145
1.67378,93,0.366145
1.68915,92,0.366145
1.76515,91,0.366145
1.80747,90,0.366145
1.82026,89,0.366145
1.8575,88,0.366145
1.94461,89,0.366145
2.08986,88,0.366145
2.1025,87,0.366145
2.17112,86,0.366145
2.18552,85,0.366145
2.34296,84,0.366145
2.50437,83,0.66496
2.53626,82,0.57838
2.73316,83,0.157639
2.77008,82,0.157639
2.77662,83,0.157639
2.78519,82,0.157639
2.79575,81,0.157639
2.7974,80,0.157639
2.83803,81,0.157639
2.86061,80,0.157639
2.9739,79,0.157639
3.09917,80,0.157639
3.12107,79,0.157639
3.13873,78,0.157639
3.1637,79,0.157639
3.19407,78,0.157639
3.31476,77,0.157639
3.35641,76,0.157639
3.39884,75,0.157639
3.86296,76,0.495423
4.01307,75,0.495423
4.26414,74,0.868243
4.32682,75,0.868243
4.45416,74,0.868243
4.54185,73,0.617917
4.57723,72,0.617917
4.97103,73,0.617917
5.07864,72,0.617917
5.08011,73,0.617917
5.92461,72,0.832127
6.06688,71,0.54607
6.11296,72,0.54607
6.12695,71,0.54607
6.13582,72,0.54607
6.228,73,0.54607
6.30312,72,0.54607
6.30993,73,0.54607
6.34102,74,0.54607
6.50792,75,0.54607
6.57818,76,0.54607
6.6058,77,0.620527
6.71774,76,0.537327
6.75156,77,0.537327
6.84864,76,0.537327
6.87826,75,0.537327
7.07905,74,0.537327
7.08502,73,0.537327
7.08652,74,0.537327
7.20334,75,0.537327
7.22332,76,0.537327
7.22797,75,0.537327
7.46863,76,0.256123
7.51247,75,0.598126
7.72275,76,0.2805
7.72897,77,0.2805
7.84674,76,0.2805
7.89369,77,0.2805
8.03857,76,0.2805
8.05417,77,0.2805
8.07064,78,0.2805
8.08104,77,0.2805
8.27053,76,0.635099
8.27078,75,0.635099
8.30189,74,0.635099
8.62861,73,0.804554
8.70364,74,0.804554
8.71795,73,0.804554
8.77331,74,0.795074
