Time ,Proteins,peak 
0.0128503,99,0.511072
0.091053,98,0.511072
0.233589,97,0.511072
0.338678,96,0.511072
0.411938,95,0.511072
0.423135,94,0.511072
0.502905,93,0.511072
0.582427,92,0.788056
0.624215,91,0.788056
0.726914,90,0.788056
0.729799,89,0.788056
0.873797,88,0.0756496
0.911182,89,0.0756496
1.06525,88,0.192012
1.1588,89,0.192012
1.31628,90,1.77736
1.39086,89,1.77736
1.49019,88,1.10702
1.62959,87,0.90889
1.67169,86,0.90889
2.0303,85,0.90889
2.04535,84,0.90889
2.1384,83,0.90889
2.1782,84,0.90889
2.4804,85,1.16777
2.52765,84,1.16777
2.53036,85,1.16777
2.54754,84,1.16777
2.71265,83,1.16777
3.05336,84,1.16777
3.14223,83,0.289481
3.29598,82,0.289481
3.42313,83,0.289481
3.46826,84,0.289481
3.61541,83,0.632706
3.6915,82,0.632706
3.75764,81,0.131906
3.84521,82,0.131906
4.00338,81,0.131906
4.20194,82,0.131906
4.27122,81,0.129278
4.29452,80,0.129278
4.38924,81,0.102097
4.43631,80,0.102097
4.45505,81,0.102097
4.46317,80,0.102097
4.6381,79,0.62762
4.64434,78,0.62762
4.71465,77,1.00923
5.00301,76,0.466947
5.15815,77,0.466947
5.18875,76,0.466947
5.20776,75,0.466947
5.22628,76,0.466947
5.31109,75,0.466947
5.5447,74,0.466947
5.68031,73,0.466947
5.68215,74,0.466947
5.70546,73,0.466947
5.82853,72,0.592846
5.89654,71,0.592846
5.92346,70,0.592846
6.05985,69,0.748211
6.17655,70,0.140927
6.24201,69,0.614075
6.27868,70,0.614075
6.32875,71,0.614075
6.49482,72,0.614075
6.62959,71,0.763788
6.69389,70,0.763788
6.69939,71,0.763788
6.85474,72,0.763788
6.96047,71,0.763788
7.35117,70,0.763788
7.37557,71,0.763788
7.50171,70,0.524098
7.63165,69,0.524098
7.84896,68,1.28187
7.96676,69,1.28187
8.30397,68,0.504522
8.31729,67,0.504522
8.45635,68,0.415009
8.63618,67,0.415009
8.72064,68,0.383523
8.78666,69,0.240176
8.87714,70,0.184847
8.97438,69,0.805884
9.0007,70,0.805884
9.01508,71,0.805884
9.02918,72,0.805884
9.05352,71,0.953854
9.07175,70,0.953854
9.09488,71,0.953854
9.15956,70,0.953854
9.16555,69,0.953854
9.22727,68,0.953854
9.28905,67,0.953854
9.5389,66,0.547822
9.76516,67,1.0878
9.82613,68,1.0878
9.92872,67,1.0878
9.99368,68,1.0878
10.0462,69,1.0878
10.0821,68,1.0878
10.4585,67,0.598818
10.5096,66,0.598818
10.6896,65,0.301788
10.7167,66,0.301788
10.7214,67,0.301788
10.7721,68,0.0408576
10.8128,69,0.0408576
10.8358,68,0.0408576
10.874,67,0.0408576
10.966,68,0.572942
11.0091,67,0.572942
11.2092,66,0.345952
11.2819,67,1.21802
11.4309,66,1.21802
11.4368,67,1.21802
11.4528,66,1.21802
11.4572,67,1.21802
11.5682,66,0.441517
11.6859,65,0.923034
11.8126,64,0.923034
11.9151,65,0.923034
11.9375,64,0.923034
11.9397,63,0.923034
12.0485,62,0.923034
12.203,63,0.0696181
12.3215,64,0.0696181
12.3234,63,0.0696181
12.4862,64,0.201673
12.4918,65,0.201673
12.5987,64,0.201673
12.6054,63,0.201673
12.6531,64,0.201673
12.8183,63,0.158632
12.9354,64,0.803875
13.192,63,0.803875
13.3183,62,1.34625
13.4231,61,1.34625
13.7048,62,1.34625
13.821,61,1.34625
13.9628,62,0.72306
14.1975,61,0.847669
14.3956,60,0.847669
14.4142,59,0.847669
14.5847,58,0.168023
14.6309,59,0.168023
14.635,60,0.168023
14.6947,59,0.168023
14.6965,60,0.168023
14.778,59,0.168023
14.8373,58,0.271821
14.8924,59,0.271821
14.9802,58,0.35608
15.053,59,0.35608
15.2337,58,1.37113
15.317,59,0.584329
15.3694,60,0.584329
15.4586,61,0.584329
15.8482,62,0.480211
16.0049,63,0.101659
16.0157,64,0.101659
16.0233,63,0.101659
16.0425,62,0.101659
16.2376,61,1.01757
16.3648,60,0.216075
16.3918,59,0.216075
16.4696,60,0.216075
16.5084,61,0.216075
16.851,60,0.315645
16.9129,59,0.315645
16.9651,58,0.458823
17.0747,59,0.458823
17.163,60,0.599805
17.249,61,0.599805
17.2967,60,0.599805
17.3329,59,0.599805
17.4013,60,0.147932
17.4355,59,0.147932
17.4855,60,0.147932
17.5169,59,0.147932
17.5187,60,0.147932
17.6385,59,0.147932
17.6526,58,0.147932
17.6735,57,0.147932
17.6921,58,0.147932
17.7356,57,0.147932
17.8348,58,0.147932
18.5405,59,0.309623
18.56,60,0.309623
18.5625,59,0.309623
18.6821,58,0.309623
18.7659,59,0.969196
18.7674,60,0.969196
18.9829,59,1.93784
18.9896,58,1.93784
19.145,57,0.446095
19.462,58,0.297743
19.4686,59,0.297743
19.5649,58,0.215446
19.5986,59,0.215446
19.6622,60,0.215446
19.7025,59,0.215446
19.7062,58,0.215446
19.7315,59,0.215446
19.822,58,0.215446
19.8498,57,0.215446
19.8529,56,0.215446
19.8549,55,0.215446
19.8785,54,0.462137
20.071,53,0.392063
20.1147,52,1.14265
20.1335,51,1.14265
20.253,50,1.14265
20.2726,49,1.14265
20.2903,48,1.14265
20.3075,47,1.14265
20.3388,48,1.14265
20.4091,49,1.14265
20.5974,50,1.14265
20.7234,51,0.572068
20.859,52,0.127061
20.8784,53,0.127061
20.8802,54,0.127061
20.9068,53,0.127061
20.9605,52,0.127061
21.1314,51,0.103803
21.1846,52,0.103803
21.2205,53,0.103803
21.2363,52,0.103803
21.2528,53,0.103803
21.325,52,0.103803
21.374,51,0.591139
21.6914,50,0.638531
21.9494,51,0.895908
21.9589,52,0.895908
21.9716,51,0.625459
22.0473,52,0.0175456
22.0723,51,0.0175456
22.105,50,0.0175456
22.1167,51,0.0175456
22.1976,52,0.0175456
22.273,51,0.469124
22.4573,50,0.469124
22.5884,51,0.469124
22.6687,52,0.412041
22.7245,53,1.19749
22.7916,52,1.19749
23.0528,53,1.19749
23.3034,52,0.406112
23.4181,51,0.697449
23.4947,50,0.697449
23.6025,49,0.697449
23.6759,50,0.179997
23.7382,49,0.179997
23.8083,48,0.0499925
23.8391,49,0.0499925
23.8503,50,0.0499925
23.8883,49,0.330673
23.9079,50,0.330673
