Time ,Proteins,peak 
0.068389,99,0.248429
0.083133,98,0.248429
0.305266,97,0.248429
0.359163,96,0.248429
0.534818,95,0.64018
0.760724,94,0.911457
0.929075,93,0.911457
1.04324,92,0.911457
1.05719,93,0.911457
1.08071,92,0.911457
1.11328,91,0.911457
1.29131,90,0.911457
1.44802,89,0.911457
1.45822,88,0.911457
1.53125,87,0.911457
1.54516,88,0.911457
1.66123,87,0.291023
1.6923,86,0.291023
1.77576,85,0.291023
1.87352,86,0.291023
1.8843,85,0.291023
2.0184,84,0.291023
2.24928,83,0.404947
2.26947,82,0.325104
2.47673,81,0.693605
2.5023,80,0.693605
2.57153,79,0.693605
2.5791,80,0.693605
2.61659,79,0.693605
2.61771,78,0.693605
2.61785,77,0.693605
2.62613,78,0.693605
2.68882,79,0.693605
2.80788,78,0.693605
2.86616,77,0.501668
3.09356,78,0.501668
3.1132,77,0.501668
3.11497,76,0.501668
3.13557,75,0.501668
3.15849,74,0.696132
3.33216,75,0.595258
3.34018,74,0.595258
3.37291,73,0.595258
3.5512,72,0.534424
3.59652,71,0.534424
3.84428,72,0.820841
3.84744,71,0.820841
3.85119,72,0.820841
3.86312,71,0.820841
4.0365,72,0.440084
4.06535,73,0.745402
4.07609,74,0.745402
4.1488,75,0.745402
4.47054,76,1.8818
4.49683,75,0.967168
4.51599,74,0.967168
4.59313,75,0.967168
4.6131,74,0.967168
4.6274,73,0.967168
4.71323,74,0.967168
4.75683,73,0.967168
4.79933,74,0.967168
4.85045,73,0.819968
5.02649,74,0.715171
5.05793,75,0.715171
5.15473,74,0.784995
5.28292,73,0.784995
5.42497,74,0.784995
5.46194,75,0.784995
5.4804,74,0.784995
5.61417,73,0.784995
5.6552,74,0.784995
5.74119,75,0.784995
5.87112,76,0.515247
5.9199,75,0.515247
5.99694,74,0.515247
6.05113,75,0.515247
6.10016,74,0.515247
6.22482,75,0.0567271
6.26737,76,0.0567271
6.3109,75,0.0567271
6.31865,74,0.0567271
6.37087,73,0.0567271
6.45569,72,0.404116
6.45981,71,0.404116
6.53608,70,0.404116
6.64316,69,2.16783
6.69854,68,0.559537
6.72222,67,0.559537
6.81709,68,0.628577
6.86775,69,0.628577
7.016,68,0.628577
7.15022,67,0.427299
7.1595,66,0.427299
7.23226,67,0.427299
7.37074,68,0.427299
7.44839,69,0.427299
7.46239,68,0.427299
7.6497,67,0.427299
8.0304,66,0.732651
8.17289,65,1.26001
8.3975,66,0.292606
8.40807,65,0.292606
8.42256,64,0.292606
8.58257,65,1.03021
8.58488,64,1.03021
8.71665,65,3.322
8.72747,66,3.322
8.75584,65,3.322
8.76864,64,3.322
8.95439,65,2.71508
9.07157,64,0.134445
9.09948,65,0.134445
9.13872,64,0.134445
9.42586,65,0.267038
9.47993,66,0.267038
9.5931,67,4.14211
9.60499,68,4.14211
9.66107,67,0.615012
9.66666,66,0.615012
9.79585,65,0.156103
9.85119,66,0.820385
9.91863,67,0.820385
9.95799,68,0.820385
10.0751,67,0.820385
10.204,66,0.63481
10.2615,65,0.63481
10.2642,66,0.63481
10.6509,67,2.12505
10.7223,66,2.12505
10.7556,67,2.12505
10.8119,68,2.12505
11.049,69,0.712276
11.3019,68,1.55671
11.345,67,1.55671
11.6612,68,1.55671
11.6831,69,1.55671
11.7344,68,1.55671
11.7457,67,1.55671
11.7641,68,1.55671
11.7797,67,0.800996
11.8075,68,0.800996
11.8909,67,0.800996
11.8978,66,0.800996
11.9231,67,0.800996
12.0245,68,0.786719
12.0786,67,0.786719
12.118,66,0.786719
12.1782,65,0.786719
12.4429,64,0.786719
12.5732,65,0.786719
12.6115,64,0.786719
12.6772,65,0.786719
12.7179,66,0.786719
12.8427,67,0.786719
12.9027,66,0.786719
12.9468,65,0.786719
12.983,64,0.786719
13.1395,65,0.0900513
13.3196,64,0.429765
13.6926,65,0.232594
13.6985,66,0.232594
13.7613,65,0.232594
13.8948,66,0.232594
13.9598,67,0.369605
14.2957,66,0.369605
14.3119,67,0.369605
14.4941,68,0.717371
14.5583,67,0.717371
14.6067,66,0.717371
14.782,65,0.717371
14.9852,64,1.20297
15.0943,63,1.01614
15.0963,62,1.01614
15.134,63,1.01614
15.1819,64,1.01614
15.2131,63,1.01614
15.2231,62,0.528147
15.2477,61,0.528147
15.3987,60,0.528147
15.4746,59,1.2625
15.7493,60,1.88271
16.0486,59,1.21356
16.0582,58,1.21356
16.0669,59,1.21356
16.0958,60,1.21356
16.4832,59,1.11848
16.5347,58,0.487507
16.612,57,0.487507
16.6691,56,0.487507
16.7095,55,0.454496
16.7237,56,0.454496
16.7288,57,0.454496
16.7964,56,0.454496
17.0157,57,1.2618
17.1337,58,1.59762
17.1985,59,1.59762
17.2954,58,1.59762
17.355,59,0.866234
17.4294,60,1.2126
17.577,61,1.2126
17.6311,62,1.2126
17.7279,61,1.2126
17.8406,60,0.457228
17.8687,59,3.02804
17.8768,58,3.02804
17.9182,59,3.02804
18.0304,60,1.30006
18.1103,61,1.30006
18.1736,62,0.746664
18.1934,63,0.746664
18.2211,64,0.746664
18.2274,65,0.746664
18.2384,64,0.746664
18.2502,65,0.746664
18.2524,64,0.746664
18.543,65,0.248652
18.573,64,0.248652
18.6224,65,0.248652
18.6275,66,0.248652
18.878,67,0.248652
18.9113,66,0.248652
19.2358,65,0.84423
19.2849,66,0.84423
19.2953,65,1.32433
19.5048,64,0.204876
19.5445,65,0.204876
19.6999,66,0.293727
19.8872,67,1.29389
19.9744,68,1.29389
20.2173,69,0.13403
20.2672,68,0.759865
20.3873,67,0.759865
20.4775,66,0.759865
20.5128,65,0.857596
20.6148,66,0.857596
20.884,65,0.441715
20.8841,66,0.441715
20.9943,67,0.441715
21.0828,68,0.441715
21.1217,69,0.441715
21.237,68,0.441715
21.2682,67,0.441715
21.3304,66,0.53403
21.3353,67,0.53403
21.4023,66,0.599277
21.5017,65,1.08923
21.7567,64,0.468325
21.7767,65,0.468325
21.8258,66,0.468325
21.9597,67,0.468325
22.0494,66,0.468325
22.0829,65,0.468325
22.0842,64,0.468325
22.1145,65,0.468325
22.1699,66,0.407914
22.178,65,0.407914
22.2866,64,0.407914
22.3931,63,0.407914
22.5133,62,1.82675
22.5341,63,1.52619
22.5801,62,1.52619
22.5836,63,1.52619
22.6241,62,1.52619
22.7025,61,1.52619
22.7255,60,1.52619
23.2642,59,0.776707
23.3577,60,0.825144
23.5386,59,0.825144
23.5623,60,0.825144
23.6305,59,0.825144
23.8508,58,0.564221
24.0524,59,1.03685
24.1286,60,0.321897
24.1365,59,0.321897
24.1605,58,0.321897
24.2119,59,2.25664
24.2175,58,2.25664
24.2535,57,2.25664
24.2585,56,2.25664
24.2755,55,2.25664
24.2883,56,2.25664
24.3809,57,2.03588
24.448,58,0.235638
24.6088,57,0.0784661
24.6574,58,1.8387
24.675,59,0.757081
24.69,58,0.757081
24.7543,57,0.45472
24.8512,56,0.45472
24.9315,55,1.06876
25.016,56,0.858098
25.0165,55,0.858098
