Time ,Proteins,peak 
0.123546,99,0.891248
0.232392,98,0.891248
0.289737,97,0.891248
0.325738,96,0.891248
0.541572,95,1.23687
0.71447,94,1.02442
0.748185,93,1.02442
0.937547,92,1.02442
0.956896,91,1.02442
1.04964,90,1.02442
1.09956,89,1.02442
1.33182,88,1.02442
1.3363,87,1.02442
1.48393,86,1.02442
1.56935,87,1.02442
1.63701,88,1.02442
1.86913,87,1.24573
2.02269,86,0.570922
2.16576,85,0.570922
2.17068,84,0.570922
2.26453,83,0.570922
2.34295,82,1.81828
2.50105,83,0.380521
2.50181,82,0.380521
2.58212,81,0.380521
2.86537,82,0.380521
2.9039,81,0.380521
2.93519,80,0.380521
2.93811,81,0.380521
3.05419,82,1.4484
3.05746,81,1.4484
3.11262,80,1.4484
3.51498,79,1.94528
3.59329,78,1.94528
3.60344,77,1.94528
3.74644,76,0.648741
3.75637,75,0.648741
3.88153,74,0.648741
3.99446,73,0.648741
4.13825,74,0.581266
4.22382,73,1.37214
4.34522,72,0.911035
4.35328,71,0.911035
4.35925,72,0.911035
4.36047,71,0.911035
4.43851,70,0.837025
4.45959,69,0.837025
4.471,70,0.837025
4.57391,69,0.837025
4.5947,70,0.837025
4.59911,69,0.837025
4.68999,70,0.837025
4.91413,71,0.837025
4.95652,70,0.837025
5.03539,69,0.837025
5.04317,68,0.837025
5.0891,67,0.837025
5.15164,66,0.837025
5.17524,65,0.837025
5.21745,64,0.837025
5.24161,65,0.837025
5.24752,66,0.837025
5.25014,67,0.837025
5.27147,66,0.837025
5.44191,65,1.16957
5.56972,66,1.16957
5.63244,65,1.16957
5.63564,64,1.16957
5.90498,63,1.06753
6.17738,62,0.932483
6.50902,61,0.412116
6.58451,60,0.412116
6.59406,61,0.412116
6.79639,62,0.412116
6.89066,61,1.42604
6.90135,62,1.42604
6.92589,61,1.42604
6.94634,60,1.42604
6.96097,61,1.42604
6.97723,60,1.42604
7.06454,61,1.42604
7.15716,60,0.887432
7.17056,59,0.887432
7.2269,60,0.32459
7.27442,59,0.32459
7.33137,60,0.32459
7.33622,61,0.32459
7.51043,60,0.845839
7.52848,61,0.845839
7.68659,60,0.845839
