Time ,Proteins,peak 
0.0787695,99,0.351925
0.263169,98,0.351925
0.31151,97,0.351925
0.382604,96,0.351925
0.523186,95,0.351925
0.712211,94,0.351925
0.912283,93,1.46442
0.929586,92,1.46442
0.983335,91,0.794671
1.09204,90,0.794671
1.15061,89,0.794671
1.15154,88,0.794671
1.20272,87,0.794671
1.38329,86,0.794671
1.63015,85,0.866616
1.75717,84,1.15666
1.77542,85,0.675943
1.88778,84,0.675943
1.92953,83,0.675943
2.10419,82,0.361618
2.22186,83,0.361618
2.37199,84,0.361618
2.40134,85,0.361618
2.41023,84,0.361618
2.43461,85,0.361618
2.44913,84,0.361618
2.60037,83,1.18778
2.73663,82,1.18778
2.80726,83,1.18778
2.8509,82,1.18778
2.86911,81,1.18778
2.95372,80,1.02713
3.05256,79,1.02713
3.05923,78,1.02713
3.58265,77,0.184605
3.68198,78,0.184605
3.74174,79,0.184605
3.89882,80,0.184605
3.92462,81,0.184605
4.01432,80,0.810832
4.17769,79,0.810832
4.36,80,0.883184
4.81218,81,1.06764
4.8924,80,1.06764
5.23549,81,0.777712
5.26063,80,0.777712
5.28264,79,0.777712
5.31678,78,0.777712
5.33242,77,0.777712
5.33344,78,0.777712
5.41075,77,0.777712
5.41524,78,0.777712
5.42832,77,0.777712
5.45865,76,2.16255
5.59254,75,0.734907
5.6359,74,0.734907
5.71409,75,0.734907
5.97148,74,0.734907
5.97234,75,0.734907
6.25949,74,0.335114
6.28601,75,0.335114
6.30904,74,0.335114
6.3126,73,0.335114
6.32898,72,0.335114
6.4782,73,0.335114
6.48277,72,0.335114
6.50423,71,0.335114
6.929,70,0.745166
7.21035,71,0.859538
7.28268,70,0.859538
7.30741,71,0.859538
7.35979,70,0.859538
7.46236,69,0.859538
7.51944,68,0.652465
7.57263,69,2.33008
7.5916,68,2.33008
7.6037,69,2.33008
7.60469,70,2.33008
7.76983,71,0.895082
7.94503,70,0.803866
8.01269,69,0.803866
8.06955,70,0.803866
