Time ,Proteins,peak 
0.0211312,99,0.690225
0.116898,98,0.690225
0.185756,97,0.690225
0.27809,96,0.690225
0.481063,95,0.690225
0.550284,94,0.632207
0.851287,93,0.780659
0.872517,92,0.780659
0.882643,91,0.780659
0.912434,90,0.780659
0.959884,89,0.780659
0.985948,90,0.780659
1.07434,89,0.801259
1.16232,90,0.801259
1.26652,89,0.296625
1.50165,90,0.296625
1.57154,91,0.296625
1.57414,90,0.296625
1.79705,89,0.296625
1.85873,90,0.296625
1.89906,89,0.296625
1.92181,88,0.687927
1.93167,87,0.687927
2.13203,86,0.369213
2.18708,85,0.369213
2.21542,84,0.315241
2.25927,83,0.315241
2.31394,82,0.315241
2.31868,81,0.315241
2.49018,82,0.493705
2.51523,83,0.493705
2.54511,82,0.493705
2.55961,81,0.493705
2.6014,82,0.493705
2.77544,81,0.493705
2.89928,82,0.493705
3.24902,81,0.704847
3.49302,80,0.268264
3.59291,81,0.268264
3.66212,80,0.268264
3.66691,81,0.268264
3.66996,80,0.268264
3.6714,79,0.268264
3.68216,80,0.268264
3.90904,79,0.268264
4.02342,78,0.268264
4.06608,77,0.268264
4.26493,76,0.268264
4.29682,75,0.268264
4.38739,74,0.268264
4.52648,73,0.268264
4.54012,72,0.268264
4.59609,71,0.268264
4.67041,70,0.345063
4.70045,69,0.669085
4.8229,68,0.412027
5.00063,69,0.412027
5.14899,70,0.400039
5.34156,71,0.400039
5.4265,70,0.400039
5.49582,71,0.400039
5.55823,70,0.400039
5.57177,69,0.400039
6.01048,68,0.51556
6.16801,69,0.51556
6.63757,68,0.747159
6.67215,67,0.747159
6.68437,66,0.747159
6.7079,65,0.747159
6.76322,66,0.747159
6.92004,67,0.747159
6.98278,66,0.435612
7.05302,67,0.435612
7.18539,66,0.435612
7.19151,65,0.435612
7.24408,66,0.435612
7.36002,67,0.532971
7.36742,68,0.532971
7.37537,67,0.532971
7.48218,66,0.532971
7.49841,65,0.617784
7.56,64,0.617784
7.60932,63,0.617784
7.80297,64,0.355837
7.83803,65,0.355837
7.85241,64,0.355837
7.88678,65,0.355837
7.99893,64,0.654874
8.11118,65,0.654874
8.14555,66,0.654874
8.26721,67,0.654874
8.26798,68,0.654874
8.417,67,0.403609
8.54771,68,0.403609
8.63537,69,0.479505
8.70308,68,0.589296
8.7075,67,0.589296
8.73504,68,0.589296
8.97512,67,0.548834
9.09447,68,0.505748
9.1098,67,0.505748
9.21912,66,0.505748
9.26812,65,0.505748
9.28687,66,0.505748
9.31049,67,0.505748
9.41943,68,0.359556
9.47486,69,0.359556
9.51931,68,0.359556
