Time ,Proteins,peak 
0.0381689,99,0.7043
0.0607794,98,0.59977
0.106314,97,0.59977
0.291973,96,0.59977
0.292494,95,0.59977
0.660421,96,0.642947
0.757535,95,0.642947
0.928465,96,0.642947
1.02542,95,0.642947
1.02633,94,0.642947
1.24625,93,0.642947
1.27749,94,0.642947
1.47984,93,0.642947
1.63373,92,0.642947
1.72908,91,0.50781
1.96216,90,0.541368
1.99323,89,0.541368
2.07039,88,0.541368
2.17167,89,0.541368
2.22891,88,0.541368
2.27767,87,0.541368
2.35551,86,0.541368
2.48458,87,0.541368
2.55735,86,0.541368
2.64268,85,0.541368
2.66364,84,0.541368
2.70373,83,0.541368
2.92363,82,0.478742
3.04768,81,0.304927
3.05286,80,0.304927
3.2339,81,0.304927
3.25638,80,0.304927
3.32337,81,0.500419
3.37074,82,0.500419
3.4411,81,0.500419
3.45605,80,0.500419
3.55982,79,0.590837
3.61689,78,0.590837
3.66641,77,0.590837
3.7474,76,0.590837
3.76459,75,0.590837
3.77164,76,0.590837
3.88928,75,0.590837
4.08277,76,0.590837
4.15279,75,0.590837
4.23573,74,0.590837
4.28268,73,0.499968
4.31802,72,0.499968
4.43711,71,0.499968
4.50995,70,0.505082
4.58779,69,0.505082
4.68027,68,0.505082
4.68718,69,0.505082
4.7445,68,0.505082
4.75854,67,0.505082
4.76283,68,0.505082
4.88167,67,0.505082
4.97325,68,0.505082
5.27852,67,0.532771
5.37733,66,0.532771
5.51108,67,0.462489
5.58725,66,0.570816
5.76063,65,0.509984
5.79431,64,0.509984
5.80451,65,0.509984
5.94915,66,0.509984
6.10506,67,0.509984
6.11433,66,0.509984
6.1877,65,0.509984
6.18952,66,0.509984
6.19328,65,0.509984
6.41394,64,0.326665
6.53358,65,0.427337
6.84886,64,0.469965
6.8608,63,0.469965
6.88937,64,0.469965
6.93273,65,0.358195
6.95071,64,0.358195
6.95104,63,0.358195
7.01708,64,0.358195
7.06997,65,0.358195
7.22413,66,0.32425
7.28658,67,0.469179
7.32394,66,0.469179
7.41408,67,0.59684
7.45881,68,0.59684
7.53034,67,0.59684
7.69418,68,0.53563
7.72006,67,0.53563
7.8242,66,0.53563
7.82758,67,0.53563
7.98931,68,0.597937
8.14737,69,0.597937
8.24462,68,0.597937
8.29812,67,0.597937
8.35886,66,0.597937
8.52844,65,0.304388
8.56657,64,0.702811
8.58216,65,0.702811
8.77389,64,0.702811
8.7749,65,0.702811
8.80576,64,0.702811
8.80684,65,0.702811
8.85271,64,0.702811
9.19172,63,0.4869
9.19265,62,0.4869
9.23989,61,0.4869
9.25711,62,0.4869
9.30416,63,0.4869
9.38281,62,0.4869
9.46588,63,0.4869
9.54226,62,0.4869
9.61269,61,0.4869
9.66594,60,0.4869
9.78853,59,0.40486
9.92934,58,0.576599
10.1272,59,0.383065
10.2679,58,0.383065
10.3727,59,0.383065
10.3751,60,0.383065
10.824,59,0.348792
10.9214,60,0.636766
11.0905,61,0.636766
11.0935,60,0.636766
11.1314,61,0.636766
11.2333,60,0.354208
11.3438,59,0.354208
11.3775,58,0.354208
11.4659,59,0.755442
11.4913,58,0.755442
11.5268,57,0.755442
11.5522,58,0.755442
11.5813,57,0.755442
11.6457,56,0.357503
11.8323,55,0.357503
11.8472,56,0.357503
11.9601,55,0.357503
11.9881,56,0.357503
12.0316,57,0.357503
12.1387,56,0.392651
12.2082,57,0.682629
12.2233,58,0.682629
12.3271,57,0.682629
12.3353,56,0.682629
12.4308,55,0.682629
12.4983,56,0.606359
12.5974,55,0.606359
12.6251,56,0.606359
12.7847,55,0.374845
12.8231,56,0.544875
12.853,55,0.350893
12.8744,56,0.350893
13.0132,57,0.669538
13.0423,56,0.582655
13.0695,55,0.582655
13.0778,56,0.582655
13.0785,57,0.582655
13.1005,56,0.582655
13.1924,57,0.582655
13.3362,58,0.582655
13.3829,57,0.582655
13.432,56,0.582655
13.4793,55,0.508742
13.5725,54,0.449484
13.6087,55,0.449484
13.6768,56,0.451651
13.7524,55,0.451651
13.8608,54,0.431536
13.9875,55,0.431536
14.0175,56,0.431536
14.0675,57,0.431536
14.1232,58,0.431536
14.2005,59,0.418416
14.5584,58,0.42496
14.6014,59,0.42496
14.9691,60,0.42496
15.0728,61,0.42496
15.1105,62,0.42496
15.1985,61,0.668083
15.2522,60,0.304039
15.5431,61,0.482407
15.8606,62,0.482931
15.8888,61,0.482931
15.9555,62,0.482931
16.07,61,0.482931
16.1356,62,0.482931
16.1422,63,0.482931
16.1571,62,0.482931
16.2345,61,0.607428
16.243,60,0.607428
16.5075,59,0.355625
16.6113,58,0.433176
16.7683,57,0.564238
16.7882,56,0.564238
16.7937,55,0.564238
16.8216,56,0.615013
16.8503,57,0.615013
16.9318,56,0.26267
17.0128,57,0.26267
17.0322,56,0.26267
17.0754,55,0.26267
17.1236,56,0.26267
17.1259,55,0.26267
17.2259,56,0.351869
17.4177,57,0.351869
17.4824,58,0.351869
17.7137,57,0.392161
17.7189,56,0.392161
17.9992,55,0.580783
18.0822,54,0.580783
18.1024,55,0.580783
18.3017,54,0.580783
18.4083,53,0.300694
18.445,54,0.300694
18.5709,53,0.418784
18.6005,52,0.418784
18.6117,51,0.418784
18.6942,52,0.418784
18.7171,51,0.418784
18.7676,50,0.418784
18.8816,51,0.542935
19.3014,50,0.440419
19.3534,51,0.47713
19.5007,52,0.47713
19.5048,51,0.47713
19.5785,52,0.686665
19.5823,53,0.686665
19.6201,52,0.348953
19.6397,53,0.383863
19.6432,54,0.383863
19.741,55,0.333417
19.8221,56,0.486077
19.8579,55,0.486077
19.9493,56,0.345311
19.9634,57,0.345311
20.008,58,0.345311
20.0407,57,0.345311
20.0556,56,0.345311
20.0609,57,0.345311
20.0705,56,0.345311
20.079,57,0.345311
20.1241,56,0.506256
20.2517,57,0.504347
20.263,58,0.504347
20.265,59,0.504347
20.2798,60,0.504347
20.4774,59,0.613714
20.5932,60,0.759262
20.6014,59,0.759262
20.6872,60,0.514002
20.7384,59,0.514002
20.9172,58,0.320266
21.0163,59,0.655996
21.0854,58,0.655996
21.1064,57,0.655996
21.1444,58,0.655996
21.1825,59,0.655996
21.2206,58,0.780177
21.2325,57,0.385583
21.2388,58,0.385583
21.3523,57,0.385583
21.5786,58,0.337702
21.5812,57,0.337702
21.6124,58,0.337702
21.672,59,0.540429
21.6827,58,0.540429
21.7335,57,0.540429
21.8084,56,0.540429
21.8762,57,0.488907
21.9661,58,0.461274
21.9728,57,0.461274
21.9982,58,0.461274
22.0155,59,0.461274
22.1783,60,0.623868
22.2938,59,0.623868
22.3051,60,0.623868
22.3331,61,0.370265
22.354,60,0.370265
22.4092,61,0.358781
22.5842,60,0.241416
22.6588,61,0.241416
22.6701,62,0.241416
22.6904,63,0.241416
22.7435,64,0.241416
22.7602,63,0.241416
22.7791,64,0.241416
22.8687,63,0.811143
22.9917,62,0.811143
23.2805,61,0.811143
23.286,60,0.811143
23.3064,59,0.547673
23.4042,58,0.547673
23.4118,57,0.266311
23.4136,56,0.266311
23.4708,55,0.266311
23.6729,56,0.348308
23.6777,57,0.348308
23.8478,58,0.97059
23.9585,59,0.97059
23.9772,60,0.97059
24.0254,61,0.97059
24.0254,60,0.97059
24.0715,61,0.97059
24.0735,62,0.97059
24.1086,61,0.97059
24.4016,62,0.343554
24.4118,61,0.343554
24.4266,60,0.343554
24.5369,59,0.343554
24.7227,60,0.343554
24.7271,61,0.343554
24.8044,62,0.343554
24.8368,61,0.343554
24.9042,62,0.589941
24.9637,61,0.589941
25.1851,60,0.589941
25.3213,61,0.385937
25.4126,60,0.385937
25.4465,61,0.385937
25.4707,60,0.291283
25.5731,59,0.291283
25.6253,60,0.291283
25.7066,59,0.291283
25.7549,60,0.291283
25.9344,59,0.590291
25.9963,60,0.590291
26.1158,59,0.590291
26.2403,58,0.590291
26.3476,57,0.590291
26.3955,58,0.590291
26.4116,57,0.590291
26.719,56,0.51071
26.9168,57,0.51071
26.9869,56,0.465587
27.0561,55,0.465587
27.1263,56,0.465587
27.177,55,0.617622
27.2168,54,0.373209
27.3668,55,0.254335
27.4447,56,0.254335
27.5577,57,0.254335
27.5999,58,0.254335
27.6347,57,0.625272
27.6439,58,0.556617
27.6448,57,0.556617
27.7698,58,0.61382
27.9022,59,0.61382
27.9881,60,0.61382
28.0261,59,0.61382
28.0812,60,0.511193
28.0976,61,0.511193
28.0987,60,0.511193
28.1992,61,0.670315
28.2478,62,0.437445
28.3399,63,0.437445
28.4019,62,0.437445
28.545,63,0.78448
28.5607,62,0.78448
28.6745,63,0.872321
28.8665,64,0.554796
28.9849,63,0.173116
29.0165,62,0.173116
29.0892,63,0.173116
29.3107,64,0.947645
29.3175,65,0.947645
29.4536,66,0.947645
29.6232,65,0.417872
29.7412,64,0.765858
29.8247,63,0.765858
29.9486,62,0.2424
29.957,63,0.2424
29.9929,62,0.2424
30.0062,61,0.2424
30.043,62,0.2424
30.1065,63,0.2424
30.1157,64,0.2424
30.1164,63,0.2424
30.2162,64,0.464829
30.2406,65,0.464829
30.2522,64,0.464829
30.4914,63,0.278127
30.4984,64,0.278127
30.6025,65,0.278127
30.611,64,0.278127
30.7129,63,0.278127
30.7689,64,0.278127
30.7962,65,0.278127
30.9477,64,0.485153
30.9479,65,0.485153
31.0124,64,0.485153
31.0209,63,0.485153
31.0255,62,0.485153
31.1406,61,0.491906
31.3014,62,0.43967
31.3457,61,0.43967
31.4042,60,0.43967
31.4043,59,0.43967
31.4539,58,0.43967
31.6042,57,0.439563
31.6245,56,0.420856
31.6273,57,0.417135
31.6762,56,0.417135
31.732,55,0.417135
31.7375,56,0.417135
31.8536,57,0.417135
31.8677,58,0.417135
31.9629,57,0.463288
31.9912,56,0.463288
