Time ,Proteins,peak 
0.122104,99,1.00897
0.12772,98,1.00897
0.359936,97,0.471263
0.392119,96,0.471263
0.397491,95,0.471263
0.445833,94,0.471263
0.478355,93,0.471263
0.622466,92,0.471263
0.698387,91,0.471263
0.725432,90,0.471263
0.746173,91,0.471263
0.758431,90,0.471263
0.865063,89,0.997995
0.868972,88,0.997995
0.959285,87,0.997995
0.962003,86,0.997995
0.966762,85,0.997995
1.09269,84,0.997995
1.16354,83,0.997995
1.27995,82,0.997995
1.28625,81,0.997995
1.40459,80,0.997995
1.5673,79,0.311354
1.64658,78,0.311354
1.64802,77,0.311354
1.75035,78,0.469512
1.82619,77,0.319178
1.86242,78,0.319178
2.0523,77,0.319178
2.09016,78,0.319178
2.18313,79,0.55599
2.20305,78,0.55599
2.57939,79,0.287106
2.66572,80,0.287106
2.67467,79,0.287106
2.69393,80,0.287106
2.78711,79,0.287106
2.83725,78,0.287106
3.04438,77,0.287106
3.35142,76,0.343205
3.41574,75,0.179276
3.47799,74,0.179276
3.57942,75,0.721092
3.63926,76,0.721092
3.66807,75,0.721092
3.68445,74,0.721092
3.68612,73,0.510825
3.91549,72,0.485075
4.00636,71,0.485075
4.19629,72,0.432076
4.30009,73,0.326402
4.34889,74,0.846919
4.36375,73,0.846919
4.43552,72,0.846919
4.45102,73,0.437622
4.46817,72,0.437622
4.52953,73,0.437622
4.55656,72,0.437622
4.62171,73,0.437622
4.63721,74,0.437622
4.72592,73,0.437622
4.76948,72,0.437622
4.88164,71,0.668786
4.8849,72,0.668786
5.0449,71,0.668786
5.06289,70,0.668786
5.12386,69,0.668786
5.19501,70,0.755822
5.45809,71,0.373249
5.4823,72,0.373249
5.48563,73,0.373249
5.64888,72,0.373249
5.65064,73,0.373249
5.86624,72,0.373249
5.87676,71,0.373249
5.91869,72,0.527026
6.42965,73,0.883144
6.59588,72,0.659154
6.63436,73,0.659154
6.73661,74,0.421719
6.74012,73,0.421719
6.85952,72,0.421719
6.88015,71,0.421719
6.90438,70,0.421719
6.96581,71,0.421719
7.09878,72,0.564445
7.11095,73,0.564445
7.19419,72,0.564445
7.22908,73,0.400866
7.24615,74,0.400866
7.27013,73,0.400866
7.29605,72,0.400866
7.43342,71,0.34987
7.49906,70,0.34987
7.61789,71,0.34987
7.65568,72,0.354667
7.66115,73,0.354667
7.71387,74,0.354667
7.74881,75,0.354667
7.75979,74,0.354667
7.89643,75,0.545597
7.91124,74,0.545597
7.97437,75,0.234983
8.11628,74,0.234983
8.16171,73,0.234983
8.17785,74,0.429763
8.21637,73,0.429763
8.22459,72,0.429763
8.30805,73,0.429763
8.39303,72,0.519321
8.43839,71,0.519321
8.55418,70,0.269115
8.58953,69,0.269115
8.59597,70,0.269115
8.68309,69,0.56491
8.73615,70,0.56491
8.86642,71,0.56491
8.87909,70,0.56491
9.07987,69,0.169895
9.08667,70,0.169895
9.16574,69,0.353012
9.16713,68,0.353012
9.1814,69,0.353012
9.38092,68,0.353012
9.44153,67,0.617957
9.50517,68,0.617957
9.74296,67,0.300727
9.76207,66,0.300727
9.81034,65,0.300727
9.86549,64,0.300727
9.95086,65,0.300727
10.053,66,0.300727
10.0574,65,0.300727
10.0642,66,0.300727
10.0749,65,0.300727
10.2626,64,0.411453
10.2848,65,0.411453
10.4411,64,0.411453
10.6441,63,0.411453
10.6606,64,0.411453
10.7095,63,0.294384
10.7754,62,0.294384
10.802,63,0.294384
10.9717,62,0.620754
10.9991,63,0.620754
11.0422,62,0.620754
11.1326,61,0.620754
11.2781,60,0.670974
11.2805,59,0.670974
11.4095,58,0.670974
11.4843,59,0.670974
11.5648,58,0.131163
11.5729,57,0.131163
11.5901,56,0.254445
11.594,55,0.610289
11.6446,56,0.45732
11.8083,57,0.558558
11.8366,58,0.612374
11.879,57,0.612374
11.8848,58,0.612374
12.0849,57,0.717711
12.0956,58,0.717711
12.1684,59,0.499274
12.2017,60,0.499274
12.2575,59,1.10905
12.2934,58,0.176293
12.3015,59,0.176293
12.3176,60,0.176293
12.328,59,0.176293
12.437,60,0.176293
12.4488,61,0.176293
12.4505,60,0.176293
12.4997,59,0.176293
12.6662,60,0.630762
12.7027,61,0.630762
12.747,60,0.630762
13.1826,59,0.296917
13.1862,60,0.296917
13.2253,59,0.296917
13.2725,58,0.296917
13.2978,57,0.296917
13.2984,58,0.296917
13.3166,59,0.296917
13.3263,60,0.296917
13.4781,59,0.72129
13.6402,60,0.591423
13.8722,59,0.591423
13.9899,58,0.222258
14.0334,57,0.222258
14.0438,58,0.222258
14.0779,59,0.621289
14.0877,60,0.621289
14.1457,61,0.621289
14.438,60,0.230943
14.5649,61,0.530895
14.6881,62,0.414886
14.7048,61,0.414886
14.9434,60,1.16347
14.9771,61,0.379354
14.9838,62,0.379354
14.9842,63,0.379354
15.0768,62,0.379354
15.3286,61,0.498313
15.3446,62,0.498313
15.4709,61,0.498313
15.63,60,0.284165
15.6761,61,0.284165
15.752,60,0.284165
15.7669,59,0.646022
15.7971,58,0.646022
15.807,59,0.646022
15.8668,60,0.549525
15.9084,59,0.459599
16.0433,60,0.428316
16.1919,59,0.418986
16.2082,60,0.418986
16.2565,59,0.418986
16.261,58,0.418986
16.3644,59,0.360802
16.3713,58,0.360802
16.3742,57,0.360802
16.3852,58,0.360802
16.4034,59,0.360802
16.4066,60,0.360802
16.5797,59,0.743664
16.5818,60,0.743664
16.6077,61,0.743664
16.613,62,0.743664
16.6203,61,0.743664
16.6965,62,0.503702
16.949,61,0.503702
16.9706,60,0.503702
16.9758,61,0.503702
17.1288,60,0.239789
